Question,Answer A,Answer B,Answer C,Answer D,Answer E
"In genetica, il test del chi-quadro, o test del chi-quadrato, può essere usato per:","valutare, dal punto di vista statistico, l'attendibilità dei dati",ottenere la lunghezza di un singolo cromatide,determinare se due geni sono presenti su un cromosoma omologo,valutare la capacità di espressione di un gene,nessuna delle altre alternative è corretta
Le persone intolleranti al lattosio:,"non sintetizzano l'enzima lattasi, necessario per scindere il lattosio in glucosio e galattosio",hanno una reazione allergica se consumano alimenti contenenti lattosio,"non sintetizzano l'enzima lattasi, necessario per scindere il lattosio in glucosio e fruttosio","non sintetizzano l'enzima lattasi, necessario per sintetizzare il lattosio",non possono introdurre zuccheri con la dieta
In quale fase della riproduzione virale le subunità del capside si aggregano al fine di racchiudere l'informazione genetica?,Assemblaggio,Attacco,Penetrazione,Sintesi,Rilascio
Le vie esterocettive:,"portano verso l'encefalo le sensazioni tattili, termiche e dolorifiche provenienti dalla pelle",portano verso l'encefalo le sensazioni provenienti dagli organi viscerali,portano verso l'encefalo informazioni sullo stato di muscoli e tendini,appartengono alle vie discendenti motrici,appartengono alle vie ascendenti motrici
I virus sono:,particelle submicroscopiche bioparassite obbligate,parassiti facoltativi,Commensali,cellule eucariote,nessuna delle altre alternative è corretta
Che cos'è il nodo senoatriale?,Una porzione specializzata del tessuto muscolare cardiaco che mantiene il ritmo di pompaggio del cuore determinando la frequenza con cui si contrae,Una malformazione delle ghiandole mammarie,La curva che compie l'arteria polmonare prima di immettersi nel cuore,Una regione particolare situata nella parete tra l'atrio destro e l'atrio sinistro che ritarda l'impulso di passaggio dall'atrio al ventricolo,Una malformazione della valvola aortica
La tromba di Eustachio:,mette in comunicazione l'orecchio medio con la faringe,mette in comunicazione l'orecchio interno con la laringe,permette di far entrare o uscire acqua,raccoglie le onde sonore e le fa convergere sul timpano,è un canale pieno di liquido
I cromosomi di un essere umano si differenziano dal cromosoma circolare degli eubatteri perché:,presentano telomeri alle estremità,i geni in essi contenuti codificano per proteine,i geni in essi contenuti vengono trascritti dall'RNA polimerasi,in essi sono presenti regioni di DNA chiamate promotori,in essi sono presenti siti di inizio della trascrizione
"A livello renale, l'aldosterone regola l'equilibrio elettrolitico determinando:",ritenzione di sodio e acqua eliminando potassio,ritenzione di potassio e acqua eliminando sodio,ritenzione dell'acqua liberando sodio e potassio,ritenzione di cloro e potassio,ritenzione di calcio
L'evoluzione dei vertebrati occupa:,le ultime tre ere geologiche,le prime ere geologiche,l'ultimo secolo,il mesozoico,nessuna delle altre alternative è corretta
La meiosi:,è costituita da due cicli di divisione,è costituita da più divisioni mitotiche,non concerne la divisione cellulare,è costituita da un unico ciclo di divisione,è costituita da tre cicli di divisione
Quale dei seguenti NON è un componente di un cromosoma?,Microtubulo,Costrizione secondaria,Braccio corto,Centromero,Braccio lungo
Il trocantere è una sporgenza presente su quale osso?,Femore,Tibia,Omero,Bacino,Radio
Quale delle seguenti ossa fa parte dell'avambraccio?,Radio,Femore,Tibia,Clavicola,Omero
Quale delle seguenti ossa fa parte della coscia?,Femore,Radio,Ulna,Tibia,Metacarpo
Che cos'è il processo xifoideo?,La porzione terminale e più piccola dello sterno,La porzione terminale e più grande dello sterno,La porzione terminale e più piccola della gabbia toracica,La porzione prossimale e più piccola dello sterno,La porzione terminale e più piccola della clavicola
Che cosa si intende per sarcopenia?,"È il progressivo declino della massa e della forza muscolare, un processo naturale ed inesorabile legato al fisiologico invecchiamento del corpo umano","È il progressivo declino della massa e della forza ossea, un processo naturale ed inesorabile legato al fisiologico invecchiamento del corpo umano",Un'eccessiva crescita muscolare dovuta all'allenamento intensivo,Una condizione caratterizzata da un'eccessiva debolezza ossea,L'accumulo di grasso nei muscoli dovuto a una dieta ricca di proteine
"Come si definisce il progressivo declino della massa e della forza muscolare, un processo naturale ed inesorabile legato al fisiologico invecchiamento del corpo umano?",Sarcopenia,Osteopenia,Osteoporosi,Aritmia,Sarcolemma
Qual è la funzione del diaframma?,"È il muscolo respiratorio principale, si contrae durante l'inspirazione e si rilascia durante l'espirazione","È il muscolo respiratorio principale, si contrae durante l'espirazione e si rilascia durante l'inspirazione",È il muscolo respiratorio principale,È il muscolo fonatorio principale,"È il muscolo respiratorio principale, tuttavia non si contrae essendo un muscolo a forma di cupola"
Il diaframma è considerato un muscolo:,inspiratorio,espiratorio,cardiaco,sia inspiratorio sia espiratorio,scheletrico
Quale tra i seguenti muscoli NON è un muscolo inspiratore accessorio?,Diaframma,Scaleno,Sternocleidomastoideo,Piccolo pettorale,Grande dentato
Qual è la funzione di un catalizzatore?,Favorire una reazione chimica in modo che l'energia di attivazione richiesta diminuisca,Favorire una reazione chimica in modo che l'energia di attivazione richiesta aumenti,Fare in modo che una reazione endoergonica avvenga spontaneamente,Alterare la proporzione di reagenti che vengono convertiti in prodotti,Modificare la direzione della reazione
Che cosa avviene durante la glicolisi?,Il glucosio viene convertito in molecole di piruvato,Il glicogeno viene convertito in glucosio,Il glucosio viene convertito in acido lattico,Il glucosio viene convertito in ATP,Il glicogeno viene convertito in ATP
Nella circolazione sistemica:,"il sangue ossigenato arriva nell'atrio sinistro e viene pompato dal ventricolo sinistro all'interno dell'aorta, che lo distribuisce al resto dell'organismo","il sangue ossigenato arriva nell'atrio destro e viene pompato dal ventricolo destro all'interno dell'aorta, che lo distribuisce al resto dell'organismo","il sangue non ossigenato arriva nell'atrio sinistro e viene pompato dal ventricolo sinistro all'interno dell'aorta, che lo distribuisce al resto dell'organismo","il sangue non ossigenato arriva nell'atrio destro e viene pompato dal ventricolo destro all'interno dell'aorta, che lo distribuisce al resto dell'organismo",il sangue ricco di anidride carbonica viene raccolto in atrio destro e viene pompato dal ventricolo destro nell'arteria polmonare
Nella circolazione polmonare:,il sangue ricco di anidride carbonica viene raccolto in atrio destro e viene pompato dal ventricolo destro nell'arteria polmonare,il sangue ricco di ossigeno viene raccolto in atrio destro e viene pompato dal ventricolo destro nell'arteria polmonare,il sangue ricco di anidride carbonica viene raccolto in atrio destro e viene pompato dal ventricolo destro nella vena polmonare,il sangue ricco di anidride carbonica viene raccolto in atrio sinistro e viene pompato dal ventricolo sinistro nell'arteria polmonare,"il sangue ossigenato arriva nell'atrio sinistro e viene pompato dal ventricolo sinistro all'interno dell'aorta, che lo distribuisce al resto dell'organismo"
Come si chiama la circolazione che pompa sangue ossigenato dal ventricolo sinistro per distribuirlo al resto dell'organismo?,Sistemica,Polmonare,Sistolica,Diastolica,Organica
Come si chiama la circolazione che pompa sangue ricco di anidride carbonica dal ventricolo destro?,Polmonare,Sistemica,Sistolica,Diastolica,Organica
Qual è la definizione di frequenza cardiaca?,"La frequenza cardiaca è il numero di battiti, quindi di pulsazioni, che il cuore compie ogni minuto","La frequenza cardiaca è il numero di battiti, quindi di pulsazioni, che il cuore compie ogni ora",La frequenza cardiaca è la pressione esercitata dal sangue all'interno dei vasi sanguigni sulla parete dei vasi stessi,"La frequenza cardiaca è il numero di battiti, quindi di pulsazioni, che il cuore compie",La frequenza cardiaca è la pressione esercitata dal sangue all'interno dei vasi sanguigni sulla parete dei vasi limitrofi
Il Ciclo di Krebs viene anche definito:,ciclo dell'acido citrico,ciclo dell'acido nitroso,ciclo dell'acido iodridico,ciclo dell'acido cloridrico,ciclo dell'acido formico
"Il Ciclo di Krebs, negli organismi procarioti, avviene:",nel citoplasma,nei mitrocondri,nell'apparato di Golgi,nel citoscheletro,nel nucleo
"Il Ciclo di Krebs, negli organismi eucarioti, avviene:",nei mitocondri,nel citoplasma,nel citoscheletro,nell'apparato di Golgi,nel nucleo
Che funzione svolge il nervo vago?,"Controllo delle funzioni parasimpatiche viscerali di cuore, polmoni e sistema digerente","Controllo delle funzioni simpatiche viscerali di cuore, polmoni e sistema digerente","Controllo delle funzioni parasimpatiche viscerali di cuore, polmoni e fegato",Controllo delle funzioni simpatiche viscerali di cuore e polmoni,"Controllo delle funzioni parasimpatiche viscerali di cuore, polmoni, milza e sistema digerente"
"Qual è il nervo che svolge il controllo delle funzioni parasimpatiche viscerali di cuore, polmoni e sistema digerente?",Nervo vago,Nervo facciale,Nervo accessorio,Nervo ipoglosso,Nervo glossofaringeo
Quante paia sono i nervi cranici?,12,11,13,10,7
Il cuore è un organo:,cavo suddiviso in quattro camere: due atri e due ventricoli,pieno suddiviso in quattro camere: due atri e due ventricoli,cavo suddiviso in tre camere: un atrio e due ventricoli,pieno suddiviso in tre camere: due atri e un ventricolo,pieno suddiviso in cinque camere: tre atri e due ventricoli
"Il cuore è protetto da una sacca sierosa esterna, che si chiama:",pericardio,miocardio,epicardio,endocardio,endotelio
Qual è la funzione del pericardio?,Avvolgere e proteggere il cuore,Costituire le pareti interne del cuore,"Contrarsi e rilasciarsi, infatti viene definito il ""muscolo"" del cuore","Svolge solo una funzione contrattile, infatti viene definito il ""muscolo"" del cuore",Costituire le pareti esterne ed interne del cuore
La valvola mitrale presidia il passaggio del sangue:,ossigenato attraverso l'orifizio posto tra atrio sinistro e ventricolo sinistro,non ossigenato attraverso l'orifizio posto tra atrio sinistro e ventricolo sinistro,ossigenato attraverso l'orifizio posto tra atrio destro e ventricolo destro,non ossigenato attraverso l'orifizio posto tra atrio destro e ventricolo destro,ossigenato attraverso l'orifizio posto tra atrio sinistro e ventricolo destro
Qual è la percentuale di ossigeno presente nell'aria che respiriamo?,0.21,0.8,0.3,0.95,0.63
Qual è la percentuale di azoto presente nell'aria che respiriamo?,0.78,0.5,0.21,0.37,0.15
Il gas più presente nell'aria che respiriamo è:,l'azoto,l'ossigeno,l'argon,l'anidride carbonica,il vapore acqueo
Quali sono le strutture anatomiche che costituiscono le vie aeree superiori?,"Cavità nasali, bocca, faringe e laringe","Cavità nasali, bocca, laringe e trachea","Cavità nasali, bocca, faringe e tiroide","Bocca, faringe, laringe e tiroide","Cavità nasali, bocca, faringe e trachea"
"Dove inizia e dove termina la cosiddetta ""zona di conduzione"" in anatomia umana?",Inizia dalla trachea e termina con i bronchioli terminali,Inizia dalla trachea e termina con i bronchi,Inizia dalla laringe e termina con i bronchioli terminali,Inizia dalla faringe e termina con i bronchioli terminali,Nessuna delle altre alternative è corretta
Nell'apparato respiratorio lo 'spazio morto':,non partecipa alla respirazione e costituisce la via di passaggio dell'aria che entra ed esce dalla zona respiratoria,partecipa alla respirazione e costituisce la via di passaggio dell'aria che entra ed esce dalla zona respiratoria,partecipa alla respirazione ma in percentuale minore che negli alveoli,partecipa alla respirazione ma in misura maggiore rispetto agli alveoli,non partecipa alla respirazione ma non costituisce la via di passaggio dell'aria che entra ed esce dalla zona respiratoria
"Nei bronchi, l'epitelio è costituito da quali tipologie di cellule?",Cellule caliciformi e cellule ciliate,Cellule pavimentose e cellule ciliate,Cellule muscolari e cellule ciliate,Cellule ossee e cellule ciliate,Cellule falciformi e cellule ciliate
"Le cellule alveolari di tipo II producono e secernono il surfactante, una sostanza chimica composta principalmente da lipidi e proteine. Qual è la funzione principale di questa sostanza nel contesto polmonare?",Abbassare la tensione superficiale facilitando l'espansione dei polmoni,Aumentare la tensione superficiale facilitando l'espansione dei polmoni,Aumentare la tensione superficiale bloccando l'espansione dei polmoni,Abbassare la tensione superficiale bloccando l'espansione dei polmoni,Abbassare e aumentare la tensione superficiale provocando il collasso degli alveoli
"Il liquido pleurico svolge diverse funzioni essenziali nel sistema respiratorio, tra cui:",lubrificare e ridurre l'attrito,produrre ossigeno,lubrificare e aumentare l'attrito,assorbire nutrienti,regolare la temperatura corporea
Che cosa s'intende per pneumotorace?,Condizione medica in cui dell'aria si accumula nello spazio pleurico,Malattia virale che colpisce i polmoni che si riempiono di muco,Infiammazione dei tessuti polmonari che si riempiono di acqua,"Condizione congenita in cui i polmoni sono anomali, causando problemi respiratori",Condizione patologica causata da un accumulo eccessivo di liquido nei polmoni
Qual è la struttura lipidica alla base delle membrane cellulari?,Un doppio strato fosfolipidico,Un doppio strato glicolipidico,Un doppio stato protolipidico,Un triplo strato fosfolipidico,Un triplo strato glicolipidico
Le proteine di membrana si possono dividere in due categorie; quali?,Proteine integrali e periferiche,Proteine prossimali e periferiche,Proteine integrali e prossimali,Proteine transmembrana e strutturali,Proteine a mosaico e periferiche
"Le membrane cellulari sono costituite da quattro principali componenti.
Qual è l’alternativa che non fa parte di questi componenti?",Acidi nucleici,Fosfolipidi,Carboidrati,Colesterolo,Proteine
Qual è l'unità di misura appropriata per misurare la dimensione di un amminoacido?,Angstrom (Å),Nanometri,Micrometri,Millimetri,Unità di massa atomica (u)
Qual è l'unità di misura di un eritrocita umano?,μm,mm,nm,pm,fm
Qual è la definizione di ione?,Atomi con un numero di elettroni diverso da quello dei protoni e hanno una carica elettrica,Atomi con un numero di elettroni diverso da quello dei protoni e non hanno carica,Atomi con un numero di elettroni uguale a quello dei protoni e hanno una carica elettrica,Atomi con un numero di elettroni uguale a quello dei protoni ma non hanno una carica elettrica,Atomi con un numero di elettroni diverso da quello dei protoni e hanno una carica elettrica parziale
"Nella soluzione acquosa del citoplasma, l'acqua è il solvente o il soluto?",È il solvente e le sostanze dissolte in essa sono il soluto,È il soluto e le sostanze dissolte in essa sono il solvente,È il solvente e le sostanze dissolte in essa sono l'additivo,È il solvente e le sostanze dissolte in essa sono l'emulsionante,È il solvente e le sostanze dissolte in essa sono il surnatante
La diffusione netta di molecole d'acqua attraverso una membrana verso una zona di maggiore concentrazione di soluti è chiamata:,osmosi,trasporto attivo primario,trasporto attivo secondario,filtrazione selettiva,diffusione semplice
Quale tra le seguenti affermazioni è ERRATA?,Le cellule animali hanno una parete cellulare,Le cellule animali non hanno una parete cellulare,Le cellule vegetali presentano al loro interno i cloroplasti,Le cellule vegetali presentano al loro interno i vacuoli,Le cellule vegetali hanno una parete cellulare
I ribosomi sono strutture cellulari in grado di:,tradurre il messaggio portato dagli mRNA,fotosintetizzare nelle cellule vegetali,detossificare,replicare il DNA,avviare la meiosi
Qual è il ruolo fondamentale dei mitocondri?,Sintetizzare molecole di ATP attraverso il processo della respirazione aerobia,Sintetizzare molecole di ADP attraverso il processo della respirazione aerobia,Sintetizzare molecole di ATP attraverso il processo della respirazione anaerobia,Sintetizzare molecole di GTP attraverso il processo della respirazione anaerobia,Sintetizzare molecole di ADP attraverso il processo della respirazione anaerobia
Il mitocondrio in un alcuni tipi di cellula muscolare può arrivare fino ad un diametro di circa:,10 μm,10 mm,10 nm,100 μm,100 nm
"Il mitocondrio svolge quattro funzioni essenziali per la cellula. Indicare, quale tra le alternative, è quella errata.",Metabolismo proteico,Respirazione cellulare,Metabolismo dei lipidi,Accumulo di cationi nella matrice,Apoptosi
Quali sono gli organuli responsabili della fotosintesi clorofilliana in cellule vegetali?,Cloroplasti,Mitocondri,Lisosomi,Apparato di Golgi,Vacuoli
Qual è la funzione della fotosintesi clorofilliana?,"Produrre glucosio a partire da CO2, H2O ed energia solare",Produrre lattosio a partire da CO2 e H2O ed energia solare,"Produrre glicogeno a partire da CO2, H2O ed energia solare",Produrre saccarosio a partire da CO2 ed energia solare,"Produrre amido a partire da CO2, H2O ed energia solare"
Qual è la funzione dell'Apparato di Golgi?,Modifica e smistamento delle proteine,"Produrre glucosio a partire da CO2, H2O ed energia solare",Sintetizzare molecole di ATP attraverso il processo della respirazione aerobia,Sintetizzare molecole di ATP attraverso il processo della respirazione anaerobia,Sintetizzare molecole di ADP attraverso il processo della respirazione anaerobia
"Cosa s'intende per ""potenziale di membrana""?",Differenza di potenziale elettrico a cavallo della membrana cellulare,Differenza di concentrazione osmotica a cavallo della membranea cellulare,Differenza di pH a cavallo tra le membrane,Differenza di ATP a cavallo tra le membrane,Differenza di permeabilità a cavallo tra le membrane
Quali sono le tre componenti che costituiscono un nucleotide di DNA?,"Deossiribosio, base azotata e gruppo fosfato","Ribosio, base azotata e gruppo fosfato","Ribosio, glucosio e gruppo fosfato","Deossiribosio, glucosio e gruppo fosfato","Deossiribosio, maltosio e gruppo fosfato"
La replicazione del DNA è:,un complesso processo molecolare che porta alla formazione di due molecole di DNA identiche,un processo biologico attraverso il quale l'informazione genetica contenuta nel DNA viene trascritta in una molecola di RNA,un processo fondamentale per la sintesi proteica,un processo molecolare attraverso il quale l'informazione genetica contenuta nell'RNA viene trascritta in una molecola di DNA,un complesso processo biologico che porta alla formazione di due molecole di RNA identiche
La trascrizione del DNA è:,un processo biologico attraverso il quale l'informazione genetica contenuta nel DNA viene trascritta in una molecola di RNA,un complesso processo molecolare che porta alla formazione di due molecole di DNA identiche,un complesso processo biologico che porta alla formazione di due molecole di RNA identiche,un processo molecolare attraverso il quale l'informazione genetica contenuta nell'RNA viene trascritta in una molecola di DNA,un complesso processo biologico che porta alla formazione di quattro molecole di RNA identiche
"Le modificazioni post-trascrizionali dell'RNA consistono in quattro processi che si verificano esclusivamente negli eucarioti. Indicare, tra le alternative proposte, la risposta ERRATA.",Ubiquitinazione,Capping,Poliadenilazione,Splicing,Splicing alternativo
La traduzione dell'RNA è:,il processo cellulare attraverso il quale l'informazione genetica contenuta nell'RNA messaggero (mRNA) viene decodificata per sintetizzare proteine specifiche,un processo biologico attraverso il quale l'informazione genetica contenuta nel DNA viene trascritta in una molecola di RNA,un complesso processo molecolare che porta alla formazione di due molecole di DNA identiche,un complesso processo biologico che porta alla formazione di due molecole di RNA identiche,un complesso processo biologico che porta alla formazione di quattro molecole di RNA identiche
Indicare quale tra i seguenti codoni NON è né di inizio né di stop.,AUA,UAA,UAG,UGA,AUG
La mitosi è:,un processo di riproduzione asessuata delle cellule eucariotiche durante il quale una singola cellula madre si divide per formare due cellule figlie geneticamente identiche,un processo di riproduzione sessuata delle cellule eucariotiche durante il quale una singola cellula madre si divide per formare due cellule figlie geneticamente identiche,"un processo di riproduzione asessuata delle cellule eucariotiche, mediante il quale da una singola cellula madre si formano due cellule figlie con un numero di cromosomi dimezzato rispetto alla cellula madre","un processo di riproduzione sessuata delle cellule procariotiche, mediante il quale da una singola cellula madre si formano due cellule figlie con un numero di cromosomi dimezzato rispetto alla cellula madre",un processo di riproduzione asessuata delle cellule procariotiche durante il quale una singola cellula madre si divide per formare due cellule figlie geneticamente identiche
La meiosi è:,un processo di riproduzione sessuata delle cellule eucariotiche durante il quale la cellula germinale si divide per formare gameti,un processo di riproduzione asessuata delle cellule eucariotiche durante il quale una singola cellula madre si divide per formare due cellule figlie geneticamente identiche,un tipo di divisione cellulare che avviene solo nelle cellule vegetali e non è coinvolta nella formazione dei gameti,un processo di riproduzione asessuata delle cellule procariotiche durante il quale una singola cellula madre si divide per formare due cellule figlie geneticamente identiche,un processo di riproduzione sessuata delle cellule procariotiche durante il quale una singola cellula madre si divide per formare due cellule figlie geneticamente identiche
La mitosi si suddivide in quattro fasi. Indicarne l'ordine corretto in cui avviene.,"Profase, metafase, anafase, telofase","Metafase, anafase, telofase e profase","Anafase, telofase, profase e metafase","Metafase, anafase, profase e telofase","Telofase, anafase, profase e metafase"
Quale tra le seguenti arterie NON fa parte dell'anatomia renale?,Arteria femorale,Arteria renale,Arterie interlobari,Arterie arcuate,Arterie interlobulari
"Tra i seguenti, qual è l'organo che NON partecipa alla difese immunitarie?",Tiroide,Midollo osseo,Timo,Milza,Linfonodo
Qual è il numero massimo di molecole di ossigeno che è in grado di legare l'emoglobina?,4,5,3,2,1
La funzione dell'emoglobina è:,il trasporto dell'ossigeno dai polmoni ai tessuti del corpo e il trasporto dell’anidride carbonica dai tessuti ai polmoni,il trasporto dell'ossigeno e anidride carbonica dai tessuti del corpo ai polmoni,il trasporto di glucosio dai tessuti del corpo ai polmoni,il trasporto di glucosio dai polmoni ai tessuti del corpo e il trasporto dell’anidride carbonica dai tessuti ai polmoni,il trasporto di glucosio dai polmoni ai tessuti del corpo e il trasporto dell’anidride carbonica dai polmoni ai tessuti
Tra le seguenti opzioni qual è l'ordine corretto delle componenti che costituiscono il canale alimentare?,"bocca, faringe, esofago, stomaco, intestino tenue e intestino crasso","bocca, faringe, esofago, stomaco, intestino crasso e intestino tenue","bocca, faringe, stomaco, esofago, intestino tenue e intestino crasso","bocca, faringe, stomaco, esofago, intestino crasso e intestino tenue","bocca, esofago, faringe, stomaco, intestino tenue e intestino crasso"
Il processo digestivo inizia:,in bocca,nella faringe,nell'esofago,nello stomaco,nell'intestino
"Come viene definito l'intestino lungo circa 7 m, responsabile dell'assorbimento delle sostanze nutritive, caratterizzato da piccoli villi e microvilli?",Tenue,Crasso,Colon,Pancreas,Retto
"Come viene definito l'intestino lungo circa 1,5 m, che assorbe principalmente l'acqua e ospita il microbiota intestinale?",Crasso,Tenue,Colon,Pancreas,Retto
"La milza svolge molteplici funzioni. Indicare, tra le alternative, la funzione NON svolta dalla milza.",Produzione di cellule ematiche negli adulti,Produzione di linfociti,Produzione di cellule del sangue nel feto,Rimozione di patogeni,Rimozione di detriti cellulari
Qual è la funzione del timo?,Maturazione dei linfociti T,Maturazione degli eritrociti,Digerire grassi e proteine,Percezione del gusto,Regolare la pressione sanguigna nel corpo umano
"Gli isolotti pancreatici, detti anche ""Isole di Langherans"", sono strutture endocrine che rilasciano diversi ormoni tra cui:",insulina e glucagone,ormone della crescita (GH),ormone antidiuretico (ADH),somatostatina e CRH,ormone follicolo-stimolante
L'ormone della crescita (GH) viene prodotto da:,adenoipofisi,isole di Langherans,midollo osseo,corticale del surrene,timo
L'ormone adrenalina è prodotto:,dalla midollare del surrene,dalla corticale del surrene,dagli isolotti pancreatici,dal lobo anteriore dell'ipofisi,dal lobo posteriore dell'ipofisi
L'ormone aldosterone è prodotto:,dalla corticale del surrene,dalla midollare del surrene,dagli isolotti pancreatici,dal lobo anteriore dell'ipofisi,dal lobo posteriore dell'ipofisi
Qual è l'ordine corretto in cui gli organelli cellulari citoplasmatici vengono utilizzati per produrre glicoproteine associate alla membrana?,"Per primo interviene il reticolo endoplasmatico ruvido, poi passano alle vescicole, per finire nell'apparato di Golgi","Per primo interviene l'apparato di Golgi, poi passano alle vescicole, per finire nel reticolo endoplasmatico","Per primo intervengo i lisosomi, poi passano alle vescicole, per finire nell'apparato di Golgi","Per primo intervengono le vescicole, poi passano al reticolo endoplasmatico, per finire nell'apparato di Golgi","Per primo interviene l'apparato di Golgi, poi passano ai lisosomi, per finire nel reticolo endoplasmatico"
Gli antibiotici sono prodotti da:,batteri e funghi,batteriofagi,protisti,protozoi,virus
Il nucleocapside è costituito da:,acido nucleico e capside,acido nucleico,capside,envelope,virione
Le proiezioni superficiali che protrudono dall'envelope sono dette:,peplomeri,dendriti,fibre caudali,capsomeri,core
"Il processo di adesione del virus alla cellula, che avviene grazie alle proteine presenti sulla superficie del virus, viene definito:",adsorbimento,adesione,assorbimento,attacco virale,fusione
Il virus del mosaico del tabacco ha una simmetria definita:,elicoidale,icosaedrica,ovoidale,poliedrica,sferica
La sterilizzazione consiste in:,"qualsiasi processo chimico o fisico che porti all'eliminazione di ogni forma microbica vivente, sia patogena che non, comprese le spore e i funghi","qualsiasi processo biochimico che porti all'eliminazione di ogni forma microbica vivente, sia patogena che non, comprese le spore e i funghi","qualsiasi processo fisico che porti all'eliminazione di ogni forma microbica vivente, sia patogena che non, non comprese le spore e i funghi","qualsiasi processo chimico o fisico che porti all'eliminazione di quasi forma microbica vivente, sia patogena che non, non comprese le spore e i funghi","qualsiasi processo chimico o fisico che porti all'eliminazione di quasi forma microbica vivente, sia patogena che non,"
La disinfezione determina:,"l'uccisione della maggior parte dei microrganismi, ma non assicura l'eliminazione di tutti","l'uccisione di tutti gli agenti patogeni, assicurando l'eliminazione di tutti i microrganismi",la denaturazione di tutte le proteine virali,la denaturazione di tutti gli acidi nucleici virali,la degradazione di tutte le membrane virali
Un agente batteriostatico è:,in grado di inibire la crescita e la moltiplicazione dei batteri,in grado di uccidere i batteri,in grado di inibire la crescita e la moltiplicazione dei protozoi,in grado di uccidere i cianobatteri,in grado di uccidere ogni genere di microrganismo
"Che cosa significa l'acronimo ""RFLP""?",Polimorfismo della lunghezza dei frammenti di restrizione,Polimorfismo della lunghezza del frammento ribosomiale,Polimorfismo della lunghezza del frammento di RNA,Polimorfismo della lunghezza del frammento casuale,Polimorfismo a lunghezza del frammento ripetitivo
"Nell'analisi RFLP, qual è il ruolo degli enzimi di restrizione?",Tagliare il DNA in siti di riconoscimento specifici,Amplificare i frammenti di DNA,Legare insieme i frammenti di DNA,Etichettare i frammenti di DNA con marcatori radioattivi,Sequenziare i frammenti di DNA
Su cosa si basa il rilevamento dei polimorfismi genetici nell'analisi RFLP?,Variazioni nella lunghezza della sequenza del DNA,Livelli di espressione delle proteine,Riarrangiamenti cromosomici,Modelli di splicing dell'RNA,Modelli di metilazione del DNA
Attraverso quale tecnica di laboratorio vengono separati e visualizzati i frammenti di DNA nell'analisi RFLP?,Elettroforesi su gel,Reazione a catena della polimerasi (PCR),Western blotting,Microscopia a fluorescenza,Analisi di microarray di DNA
L'analisi RFLP può essere utilizzata per:,indagini forensi,determinare i livelli di espressione genica,rilevare le interazioni proteina-proteina,studiare il metabolismo cellulare,valutare le aberrazioni cromosomiche
Quale delle seguenti affermazioni è VERA riguardo alle applicazioni dell'analisi RFLP?,L'analisi RFLP può essere utilizzata per identificare le malattie genetiche causate da mutazioni,L'analisi RFLP può analizzare le modifiche epigenetiche del DNA,L'analisi RFLP è utilizzata principalmente per il clonaggio del DNA,L'analisi RFLP può essere utilizzata per studiare i modelli di espressione genica,L'analisi RFLP può determinare la presenza di proteine specifiche in un campione
"Dolly, la famosa pecora clonata, è stata creata con quale tecnica?",Trasferimento nucleare di cellule somatiche,Fecondazione in vitro,Western blotting,Trasferimento di gameti all'interno delle tube di Falloppio,Modifica genica mediante CRISPR-Cas9
Quale tipo di cellula è stata utilizzata come cellula donatrice nella clonazione della pecora Dolly?,Cellula somatica della mammella,Cellula somatica muscolare,Cellula staminale embrionale,Cellula spermatica,Cellula uovo
Quali dei seguenti elementi sono componenti tipici di una molecola di RNA appena prodotta dal processo di trascrizione in una cellula epatica?,Guanina e ribosio,Legami peptidici e amminici,Guanina e legami pepetidici,Ribosio e legami amminici,Ribosio e legami peptidici
Quali dei seguenti elementi sono tipici componenti di una proteina appena sintetizzata dal processo di traduzione in una cellula epatica?,Legami peptidici,Guanina e ribosio,Guanina e legami pepetidici,Ribosio e legami amminici,Ribosio e legami peptidici
Qual è l'ordine in cui gli organelli vengono utilizzati per produrre glicolipidi?,"Per primo interviene il reticolo endoplasmatico liscio, per poi passare all'apparato di Golgi, e infine essere trasportati in vescicole","Per primo interviene il reticolo endoplasmatico ruvido, per poi passare all'apparato di Golgi, e infine essere trasportati in vescicole","Per primo intervengono i lisosomi, per poi passare all'apparato di Golgi, e infine essere trasportati in vescicole","Per primo interviene l'apparato di Golgi, per poi passare ai lisosomi, e infine essere trasportati in vescicole","Per primo interviene il reticolo endoplasmatico liscio, per poi passare all'apparato di Golgi, e infine essere trasportati in lisosomi"
"L'unità proteica che, ripetuta, forma il capside icosaedrico viene definito:",capsomero,dendrita,fribra caudale,peplomero,core
"Quale tipo di legame spezzano gli enzimi definiti ""di restrizione""?",Fosfodiestere,Idrogeno,Ponte di solfuro,Peptidico,Forze di London
"La clonazione della pecora Dolly è stata significativa in campo scientifico perché è stata la prima clonazione di successo di un mammifero, a partire da quale tipo di cellula?",Cellula somatica adulta,Cellula germinale,Cellula nervosa adulta,Cellula uovo,Cellula spermatocitica
In che hanno avvenne la clonazione della pecora Dolly?,1996,2000,2003,1998,1980
Quale termine descrive la tecnica utilizzata per creare la pecora Dolly?,Clonazione riproduttiva,Biologia sintetica,Imprinting genomico,Ingegneria genetica,Clonazione terapeutica
Quale dei seguenti adattamenti evolutivi permette agli uccelli di volare?,Ossa cave,Pelle permeabile,Becco lungo e robusto,Zampe zygodactyl,Criptismo per mimetizzarsi
