Question,Answer A,Answer B,Answer C,Answer D,Answer E
"Rispetto alle tecniche analitiche che si basano sulla misurazione dell'assorbimento di radiazione luminosa, quelle basate sulla luminescenza sono:","più sensibili, ma non sempre applicabili poichè molte molecole irradiate danno emissione trascurabile","meno sensibili, e non sempre applicabili poichè molte molecole irradiate danno emissione trascurabile","più sensibili, e sempre applicabili poichè tutte le molecole irradiate danno un'emissione misurabile","ugualmente sensibili, e sempre applicabili","ugualmente sensibili, e sempre applicabili poichè tutte le molecole irradiate danno un'emissione misurabile"
Che cosa sono i reattivi di Grignard?,Composti di organomagnesio,Composti di organolitio,Composti organici sempre insaturi,Catalizzatori a base di ferro,Catalizzatori a base di zinco
"Quando un composto chimico può essere definito ""organico""?",Quando uno o più atomi di carbonio sono uniti tramite legame covalente ad atomi di altri elementi,Quando uno o più atomi di carbonio sono uniti tramite legame ionico ad atomi di altri elementi,Quando è formato soltanto da atomi di azoto e idrogeno legati con legame covalente,Quando è formato soltanto da atomi di carbonio legati con legame ionico ad atomi di ossigeno e idrogeno,Nessuna delle altre alternative è corretta
Gli idrocarburi sono composti organici che:,sono costituiti solo da carbonio e idrogeno,"sono costituiti solo da carbonio, idrogeno e ossigeno",contengono anche un eteroatomo,hanno una struttura ad anello,non possono avere una struttura ad anello
In una reazione chimica che cosa indicano i coefficienti stechiometrici?,I rapporti molari con cui le sostanze coinvolte nella reazione reagiscono,I rapporti in peso con cui le sostanze coinvolte nella reazione reagiscono,Le percentuali in peso con cui le sostanze coinvolte nella reazione reagiscono,I volumi con cui le sostanze coinvolte nella reazione reagiscono,I rapporti delle concentrazioni con cui le sostanze coinvolte nella reazione reagiscono
Si prenda in considerazione un litro di soluzione tampone formata da un acido debole e un suo sale ottenuto formalmente per reazione con una base forte. La soluzione viene diluita con acqua distillata a un nuovo volume di 3 litri. il pH della nuova soluzione ottenuta:,resta invariato,non si può dire come varia con questi dati,diventa più basico,diventa più acido,non si può parlare di pH in questi casi
"Indicare il nome degli elementi contrassegnati dal colore corrispondente al numero 3.
",Semimetalli,Metalli alcalini,Non metalli,Alogeni,Lantanidi
"Bilanciare la seguente reazione inserendo i corretti coefficienti stechiometrici.
a CaCO3 + b NaCl → c CaCl2 + d Na2CO3",a = 1; b = 2; c = 1; d = 1,a = 1; b = 2; c = 1; d = 2,a = 1; b = 2; c = 2; d = 1,a = 2; b = 4; c = 1; d = 1,a = 1; b = 2; c = 4; d = 1
La solubilità di un composto in un solvente polare:,aumenta all'aumentare della polarità del composto,diminuisce all'aumentare della polarità del composto,non varia con la polarità del composto,è massima per i composti non polarizzati,nessuna delle altre alternative è corretta
"Mettendo a confronto un atomo di zolfo con un atomo di ossigeno, emerge che:",un atomo di zolfo ha nel nucleo il doppio dei protoni posseduti da un atomo di ossigeno,l'ossigeno appartiene al periodo 2 mentre lo zolfo appartiene al periodo 4,lo zolfo ha energia di prima ionizzazione superiore a quella dell'ossigeno,"sia lo zolfo, sia l'ossigeno appartengono al gruppo 15 della tavola periodica","l'ossigeno è un non metallo, mentre lo zolfo è un semimetallo"
"La configurazione elettronica esterna 1s2 2s22p4, a quale elemento della tavola periodica appartiene?",Ossigeno,Carbonio,Alluminio,Litio,Magnesio
"Una soluzione acquosa di acido cloridrico è: (MA del cloro 35,5 u)","0,01 m se contiene 0,01 mol di acido cloridrico in 1000 g di acqua","1,0 m se contiene 36,5 g di acido cloridrico in 963,5 g di acqua","2,0 m se contiene 73,0 g di acido cloridrico in 1000 g di soluzione","0,01 M se contiene 3,65 g di acido cloridrico in 1,0 l di soluzione","3,0 M se contiene 3,0 mol di acido cloridrico in una mole di soluzione"
"In cromatografia, che cosa si intende per volume di ritenzione?",Volume di solvente richiesto per eluire un soluto dalla colonna,Volume di sostanza iniettata nella colonna,Volume di ciascuna frazione cromatografica,Volume totale di tutte le frazioni cromatografiche,Volume di solvente necessario a sciogliere tutto il soluto
La struttura tridimensionale delle proteine è spesso definita dalla presenza di ponti disulfuro. Che tipo di legame si instaura tra due atomi di zolfo in questi ponti?,Covalente,Ionico,Di coordinazione,Forze di van del Waals,Interazione idrofobica
Il manganese è un elemento di transizione e appartiene al periodo 4 e al gruppo 7 della tavola periodica. Quale valore assume il numero quantico secondario di un orbitale 3d dell'atomo di manganese?,2,3d7,3,4,tutti i valori compresi tra –3 e +3
"Per ottenere un'aldeide a partire da un alcol primario, quale reazione chimica è necessario compiere?",Ossidazione,Riduzione,Sostituzione nucleofila,Addizione elettrofila,Alogenazione catalitica
Da quali dei seguenti atomi sono formati gli idrocarburi?,"C, H","N, H","H, O","C, N","C, O"
Quale dei seguenti atomi ha elettronegatività minore?,Cs,Al,Ge,C,K
"NH4NO3 ha un peso formula pari a 80,04 u e la sua solubilità in acqua è 1.920 g/l a 20 °C. 10 litri di una soluzione 0,4 M di NH4NO3 a 20 °C e a 1 atm di pressione:","sono sovrassaturi di soluto, con presenza di corpo di fondo",hanno pH neutro,"contengono 32,016 g di NH4NO3",sono saturi di soluto,hanno [H+] < 10–7 mol/l
"La massa di NH4Cl è pari a 53,5 u. Per preparare un litro di una soluzione acquosa 0,02M di NH4Cl saranno pertanto necessari:","1,07 g di NH4Cl","0,98 moli di acqua","53,5 g di NH4Cl","5,35 g di NH4Cl","10,7 g di NH4Cl"
Quanti atomi di idrogeno sono presenti in una molecola di 1-idrossi-2- metilbenzene?,8,7,9,10,11
"Se la massa di una mole di H2MoO4 è pari a 162 g, qual è la massa del
molibdeno presente in 12,04 x 1023 molecole di tale composto?",192 g,194 g,96 g,224 g,196 g
"Per ottenere 15,0 moli di acqua, quante moli di 2-esino devono essere sottoposte a combustione completa?",3,2.75,2,Nessuna delle altre risposte è corretta,2.5
"Una soluzione ha pH pari a 3, calcolare la concentrazione di ioni H+.",10–3 mol/L,10–6 mol/L,"0,03 mol/L","0,003 mol/L","0,00001 mol/L"
Gli orbitali p:,sono orientati lungo le 3 direzioni dello spazio,formano angoli di 45°,sono sferici,possono contenere massimo 3 elettroni,nessuna delle altre risposte è corretta
Le particelle di un liquido hanno forze di attrazione intermolecolari:,minori di quelle presenti nello stato solido,maggiori di quelle presenti nello stato solido,minori di quelle presenti nello stato gassoso,esclusivamente di van der Waals,nessuna delle altre alternative è corretta
"La massa di H è pari a 1 u, la massa di S è pari a 32 u e la massa di O è pari a 16 u. La massa di una molecola di H2SO3 è pertanto pari a:","82,0 u","49,0 u","82,0 grammi","6,02 x 1023 u","82,0 x 1,67 x 10-24 u"
"Nella terminologia chimica tradizionale, una reazione di neutralizzazione è una reazione che avviene in soluzione acquosa tra:",una base e un acido,un acido e un alcol,due acidi,un acido e un alcano,nessuna delle altre risposte è corretta
"Il fluoro (F) appartiene al gruppo 17 e al periodo 2 della tavola periodica, la sua configurazione elettronica esterna è:",2s2 2p5,2s2,3d2 3s3,6s1,4d10
L'ozono:,è una forma allotropica dell'ossigeno,è una forma tautomerica dell'azoto,si forma per combustione dei combustibili fossili,non è presente in natura,è un derivato del petrolio
Cosa sono gli elettroliti?,Sono specie chimiche che in soluzione si scindono totalmente o parzialmente in ioni,Sono elettroni in soluzione acquosa,Sono acidi,Sono le soluzioni contenute nella cella elettrolitica,Sono soluzioni tampone
Gli acidi grassi sono molecole:,"organiche, contenenti il gruppo carbossilico e liposolubili",che rientrano nella composizione del colesterolo,che si legano tra loro per formare le proteine,che si legano tra loro per formare gli acidi nucleici,"costituite da H, C e O e che non presentano mai legami multipli nella loro struttura"
"Un litro di CO e un litro di CO2, nelle stesse condizioni di temperatura e pressione:",contengono lo stesso numero di molecole,contengono lo stesso numero di atomi,hanno la stessa massa,hanno la stessa densità,nessuna delle altre alternative è corretta
"La massa di una molecola di MnO(OH)2 è pari a 105 uma. Qual è la massa di manganese che si trova in 2,5 moli di tale sostanza?","137,5 g",110 uma,180 g,"177,5 g","97,5 g"
"Un catione bivalente di rame ha Z = 29 e A = 63, quindi ha:",27 elettroni,32 neutroni nel nucleo,29 neutroni nel nucleo,27 protoni nel nucleo,29 elettroni
Il furano è:,un eterociclo pentaatomico,un eterociclo esaatomico,un composto solforato,un etere aciclico,un alcano
"Se si aumenta di 100 volte la concentrazione degli ioni (OH-) in una soluzione con un pH iniziale di 8, quale valore di pH finale si ottiene?",pH 10,pH 6,pH 7,pH 12,pH 5
Nella dissociazione di 1 mole di solfato di alluminio in acqua si formano:,2 moli di catione metallico e 3 moli di ione solfato,una mole di catione alluminio e 1 mole di anione solfato,alluminio metallico e acido solforico,la stessa quantità in grammi di entrambi anione e catione,nessuna delle altre alternative è corretta perché il sale non si solubilizza in acqua
La reazione tra idrossido di sodio e acido cloridrico genera il sale:,NaCl,KCl,Na2SO4,NaNO3,Na2O
Individuare la sostanza maggiormente solubile in acqua.,Cloruro di potassio,Zolfo,Alluminio,Dodecano,"Peltro (lega di stagno, piombo e rame)"
In un filo d'argento il legame fra gli atomi è di tipo:,metallico,covalente,covalente polare,ionico,nessuna delle altre alternative è corretta
La formula corretta dell'acido cloridrico è:,HCl,H2Cl,HClO,HClO2,H2SO3
Quale dei seguenti composti organici ha più spiccate proprietà acide?,HCOOH,C2H5OH,CH3OH,CH3OCH3,CH3NH2
Quale dei seguenti elementi è un alogeno?,I,Fe,Mg,Cs,Al
Il naftalene è:,un idrocarburo aromatico,un alcol,un alchene,un idrocarburo saturo,nessuna delle altre alternative è corretta
"L'acido carbonico (H2CO3) è un acido debole con K1 = 4,3 x 10–7. Si considerino 50,0 litri di una soluzione acquosa di acido carbonico che contengono 0,0005 moli di H+. Qual è il pOH di tale soluzione?",9,9.75,10.69,5,4.3
Un polimero è un composto organico costituito da una sequenza ordinata di:,monomeri,isomeri,epimeri,stereoisomeri,allomeri
"Individuare i coefficienti stechiometrici necessari per bilanciare la seguente equazione chimica:
aBa3N2 + bH2O → cBa(OH)2 + dNH3",a = 1; b = 6; c = 3; d = 2,a = 2; b = 6; c = 6; d = 2,a = 1; b = 3; c = 3; d = 2,a = 2; b = 6; c = 3; d = 4,a = 2; b = 6; c = 6; d = 4
"La seguente equazione chimica rappresenta la reazione di combustione del metano:
CH4 + 2O2 → CO2 + 2H2O
Con 2,4 moli di O2 quante moli di metano si possono bruciare?",1.2,0.6,4.8,0.48,2.4
La frazione molare del soluto indica:,il rapporto tra il numero di moli di soluto e le moli totali in una soluzione,il rapporto tra il numero di moli di soluto e il numero di moli di solvente in una soluzione,il rapporto tra il numero di moli di soluto e il volume della soluzione espresso in litri,il rapporto tra il numero di moli di soluto e la massa della soluzione espressa in chilogrammi,il rapporto tra il numero di moli totali in una soluzione e il numero di moli di soluto
Gli enzimi catalizzano le reazioni chimiche. Questo significa che:,"le accelerano, diminuendo l'energia di attivazione (Ea) di una reazione",forniscono energia ai reagenti,sottraggono energia ai reagenti,le rendono energeticamente possibili,aumentano la temperatura delle reazioni
La somma dei numeri di ossidazione di tutti gli atomi di uno ione è:,pari alla carica dello ione,pari in valore assoluto ma di segno opposto alla carica dello ione,pari alla carica dello ione meno 2,zero,nessuna delle altre alternative è corretta
Qual è il numero di ossidazione del carbonio in H2CO3?,4,2,–4,–2,1
Cosa indica il numero atomico?,Il numero di protoni,Il numero di neutroni e protoni,Il numero di elettroni,"Il numero di protoni, neutroni ed elettroni",Il numero dei neutroni
I trigliceridi sono:,esteri formati da 3 acidi a lunga catena e una molecola di glicerolo,esteri formati da 3 alcoli a lunga catena e una molecola di glicerolo,esteri formati da una molecola di acido a lunga catena e 3 molecole di glicerolo,esteri formati da una molecola di alcol a lunga catena e 3 molecole di glicerolo,trimeri del glicerolo
"Quale delle seguenti soluzioni, delle quali si riportano le concentrazioni di ioni H+ e OH–, è la più basica?","[H+] = 1,0 · 10–12","[OH–] = 1,0 · 10–5","[H+] = 1,0 · 10–7","[OH–] = 1,0 · 10–10","[OH–] = 1,0 · 10–4"
"Data una soluzione acquosa a pH 5,0, qual è la concentrazione di ioni OH–?","[OH–] = 1,0 x 10–9","[OH–] = 1,0 x 109","[OH–] = 1,0 x 107","[OH–] = 1,0 x 105","[OH–] = 1,0 x 10–5"
I grassi contengono il gruppo funzionale:,estereo,carbossilico,alcolico,etereo,ammidico
Cosa si intende per molecola?,Un gruppo di atomi tenuto insieme da legami covalenti,Un atomo che ha perso elettroni,Un gruppo di protoni tenuto insieme da legami chimici,Un atomo che ha acquistato elettroni,La più piccola parte di un elemento chimico
Le conformazioni a sedia e a barca che possono essere assunte dal cicloesano sono:,isomeri conformazionali,anelli aromatici,isomeri cis-trans,isomeri di catena,isomeri di gruppo funzionale
Per bruciare completamente 58 g di butano (C4H10) a CO2 e H2O secondo l'equazione: 2C4H10 + 13O2 → 8CO2 + 10H2O si richiedono:,"6,5 moli di ossigeno",13 g di ossigeno,13 moli di ossigeno,"6,5 grammoioni di ossigeno",10 moli di H e 13 di O2
Qual è il massimo numero di ossidazione dell'azoto nei suoi composti?,5,–5,3,4,È variabile da –3 a +3
"Quali sono i coefficienti stechiometrici che bilanciano la seguente reazione chimica?
a Fe2O3 +b Al → c Al3O3 + d Fe",a = 1; b = 2; c = 1; d = 2,a = 2; b = 1; c = 2; d = 1,a = 1; b = 2; c = 2; d = 2,a = 1; b = 3; c = 1; d = 3,a = 2; b = 2; c = 1; d = 2
Cosa accade se il nucleo di un atomo espelle una particella alfa?,La massa dell’atomo diminuisce,La massa dell’atomo rimane inalterata ma cambia la sua carica elettrica,La massa dell’atomo rimane inalterata ma cambia l’assetto di protoni e neutroni,Non cambia né la massa né la carica elettrica dell’atomo perché in realtà viene emessa solo un’onda elettromagnetica,Il nucleo di un atomo non può espellere una particella alfa
"Quanti grammi di solfato di magnesio devono essere aggiunti a 2,0 kg d'acqua per preparare una soluzione acquosa 0,01 m? (massa atomica di Mg = 24,3 u; massa atomica di S = 32 u)",2.4,1.2,4.8,0.6,3.5
"Considerando quantitativa la reazione di formazione di acqua da idrogeno e ossigeno molecolari, indicare l'affermazione corretta fra le seguenti:",da 2 moli di idrogeno e 1 di ossigeno si ottengono 2 moli di acqua,da 2 moli di idrogeno e 1 di ossigeno si ottengono 3 moli di acqua,da 2 moli di idrogeno e 1 di ossigeno di ottiene 1 mole di acqua,da 10 g di idrogeno e 5 g di ossigeno si ottengono 10 g di acqua,da 10 g di idrogeno e 5 g di ossigeno si ottengono 15 g di acqua
La reazione chimica in cui si perde CO2 per via metabolica è una:,decarbossilazione,riduzione,addizione,metilazione,idrolisi
"Durante l'inverno, per evitare la formazione di ghiaccio, viene sparso sale sulle strade. Questo perché:",la presenza di sale determina un abbassamento della temperatura di congelamento dell'acqua,la dissoluzione del sale nell'acqua produce calore,la presenza di sale determina un innalzamento della temperatura di congelamento dell'acqua,il sale cattura le gocce d'acqua impedendo loro di passare allo stato solido,la presenza del sale altera il reticolo cristallino del ghiaccio
L'acido solforoso ha la seguente formula bruta:,H2SO3,H2S,SO2,H2SO4,SO3
Una base si definisce debole se:,in acqua non è completamente ionizzata,in acqua è completamente ionizzata,ha una costante di dissociazione molto grande,rende il pH della soluzione minore di 7,rende neutro il pH della soluzione
Si ritiene che un legame chimico possa essere definito ionico quando la differenza di elettronegatività tra i due atomi coinvolti è:,maggiore di 1.9,pari a 0,minore di 0.4,compresa tra 0.4 e 1.4,pari a 1
Una soluzione che ha pH = 2 è:,acida,basica,neutra,in eccesso di ossidrilioni,nessuna delle altre alternative è corretta
Gli idrocarburi aromatici:,vanno incontro prevalentemente a reazioni di sostituzione elettrofila,vanno incontro prevalentemente a reazioni di addizione elettrofila,hanno formula generale CnH2n,presentano almeno un triplo legame,reagiscono facilmente perché l’anello aromatico è instabile dal punto di vista chimico
"Gli elettroni sono, per convenzione, rappresentati dai quattro numeri quantici che li caratterizzano, racchiusi tra parentesi secondo la notazione generale (n, l, m, ms). Individuare la serie di numeri quantici che può rappresentare un elettrone dell’orbitale 3d.","(3,2,–1,–1/2)","(3,1,0,–1/2)","(3,0,0,+1/2)","(3,3,0,–1/2)","(3,1,2,+1/2)"
Gli elettroliti sono:,capaci di condurre la corrente elettrica,gas,metalli,incapaci di condurre la corrente elettrica,nessuna delle altre alternative è corretta
Un'anidride si ottiene dalla reazione tra:,un non metallo e l'ossigeno,un metallo e l'ossigeno,un non metallo e l'idrogeno,un metallo e l'idrogeno,nessuna delle altre alternative è corretta
"Se una soluzione acquosa ha pH = 2, la concentrazione molare degli ioni H+ è:",10–2,10–12,102,1012,nessuna delle altre alternative è corretta
Se si effettua l'alogenazione del propilene in ambiente acquoso si ottiene:,un'aloidrina,un composto saturo completamente alogenato,un composto insaturo alogenato,un alcano e un composto completamente alogenato,una miscela 6:4 di mono alogenato e dialogenato
"NH3, H2O e PO  3-:
4",si possono comportare da basi,sono sostanze ioniche,sono in grado di cedere protoni a molecole d'acqua,hanno lo stesso peso formula,sono acidi secondo Lewis
"Si aggiungono 250 mL di soluzione acquosa di acido cloridrico 0,3 M a 500 mL di una soluzione acquosa 0,3 M di HCl. La concentrazione della soluzione ottenuta è:","0,3 M","0,15 M","0,1 M","0,9 M","0,6 M"
Gli isotopi 56 e 58 del ferro differiscono perché:,l'isotopo 58 possiede due neutroni in più rispetto all'isotopo 56,l'isotopo 58 possiede due protoni in più rispetto all'isotopo 56,l'isotopo 56 possiede due elettroni in meno rispetto all'isotopo 58,l'isotopo 56 possiede due protoni in meno rispetto all'isotopo 58,l'isotopo 58 possiede due elettroni in più rispetto all'isotopo 56
Quale delle seguenti molecole ha geometria piramidale?,PH3,H2O,CO2,HCN,NaH
In quale dei seguenti ioni e molecole è presente un legame dativo?,"+
NH4",CH4,H2O,CO2,BH3
L'idrolisi dei trigliceridi in ambiente basico conduce a:,glicerolo e saponi,aldeidi e chetoni,amminoacidi,glicerolo e altri alcoli,acidi grassi
"Se il pOH di una soluzione acquosa è 10, il pH è:",4,1,0,9,14
Indicare per l'acido NCCH2COOH l'ibridazione dei suoi atomi di carbonio da sinistra a destra.,"sp, sp3, sp2","sp2, sp, sp3","sp3, sp2, sp","sp, sp, sp3","sp, sp, sp2"
In cosa differiscono queste due molecole di acqua: 1H2O 2H2O?,Peso molecolare,Numero di elettroni totali,Gli ossigeni sono isotopi differenti,Una molecola ha il peso molecolare doppio rispetto a quello dell'altra,Non vi sono differenze negli atomi e nelle proprietà
Qual è la base coniugata dell'acido iodico?,"-
IO3","-
IO4","-
IO2",IO-,"2-
IO3"
In una reazione chimica:,la somma delle masse dei reagenti è sempre uguale alla somma delle masse dei prodotti,vi è sempre un trasferimento di elettroni,si libera sempre calore,è sempre necessario fornire energia,è sempre necessario utilizzare un catalizzatore
"Qual è il numero di ossidazione dello zolfo in K2SO4 e nello ione SO  2–?
3","+6, +4","+4, +4","+6, +6","–6, –4","–6, +4"
Quale delle seguenti relazioni è corretta?,Numero di massa – numero atomico = numero di neutroni,Numero di massa + numero atomico = numero di neutroni,Numero di massa – numero di neutroni = peso atomico,Numero di neutroni + numero di elettroni = numero atomico,Numero di protoni – numero di elettroni = peso atomico
Il pH:,indica la concentrazione molare degli ioni idrogeno presenti in una soluzione,indica la concentrazione molare degli atomi di idrogeno presenti in una sostanza,indica la concentrazione molare degli ioni idrossido presenti in una soluzione,di una soluzione salina corrisponde sempre all'ordine di grandezza della concentrazione molare del sale,della soluzione di qualsiasi composto corrisponde all'ordine di grandezza della concentrazione molare del composto stesso
Qual è la formula dell’idrossido di alluminio?,Al(OH)3,Al(OH)3,AlOH,AlO,Al2O3
Gli elementi più inerti sono:,i gas nobili,i metalli alcalini,i metalli alcalino-terrosi,gli alogeni,i metalli di transizione
Indicare quale dei seguenti composti chimici contiene un singolo legame covalente puro:,fluoro,cloruro di potassio,ossigeno,ossido di zinco,monossido di carbonio
La solfonazione del toluene:,è reversibile,è favorita a bassa temperatura,avviene con aumento del numero di moli,è favorita dalle basse pressioni,non può essere effettuata direttamente
"La quantità di calore richiesta da un'unità di massa di una sostanza per passare dallo stato solido allo stato liquido, dopo che la sostanza sia stata portata alla temperatura alla quale avviene il cambiamento di stato, è detta:",calore latente di fusione,calore latente di solidificazione,temperatura di fusione,temperatura di solidificazione,nessuna delle altre alternative è corretta
L'ATP:,contiene due legami anidridici ad alta energia e uno estereo,contiene tre legami anidridici ad alta energia,contiene tre legami fosfodiesterei,corrisponde all'acido adenosindifosforico,è un secondo messaggero cellulare
Il brinamento è:,il passaggio di stato da vapore a solido,causato dalla liquefazione di una miscela di gas,"possibile solo per O2, N2 e H2O",il passaggio di stato da liquido a solido,un processo chimico
Un numero di ossidazione positivo indica il numero di:,elettroni ceduti,protoni ceduti,atomi di ossigeno acquistati,elettroni acquistati,protoni acquistati
In quale delle seguenti molecole l’atomo che si trova al centro NON dispone di coppie di elettroni non condivisi nel livello più esterno?,BH3,H2O,H2S,NH3,Cl2O
Individuare tra le seguenti equazioni chimiche quella correttamente bilanciata.,2Cr2O3 + 4Na2CO3 + 3O2 → 4Na2CrO4 + 4CO2,K2Cr2O7 + H2S + 3H2SO4 → Cr2(SO4)3 + K2SO4 + S + H2O,4NH3 + 5O2 → 3NO + 6H2O,Mg(OH)2 + 2HNO3 → MgNO3 + 2H2O,3MgCl2 + 2Na2PO4 → Mg3(PO4)2 + 6NaCl
Il peso molecolare di K2SO4 (solfato di potassio) è 174 g/mol. Per preparare 300 ml di soluzione 1.00 mol/L quanto solfato di potassio bisogna pesare?,52.2 g,17.4g,26.1 g,522 g,26100 g
"L'idrolisi di una molecola di C4H6O3 dà come unici prodotti due molecole di CH3COOH. Sulla base della precedente informazione, a quale classe di composti della chimica organica deve appartenere C4H6O3?",Anidridi,Esteri,Eteri semplici o simmetrici,Glicoli,Ammidi
Quanti atomi sono presenti in 48 g di CH4?,"90,33 · 1023","6,022 · 1023","18,066 · 1023",48,"30,11 · 1023"
L'acido acetico CH3COOH reagisce con l'idrossido di sodio NaOH in acqua per dare:,CH3COONa e H2O,acetato di sodio e ammoniaca,CH2COOOH e Na,acetato di sodio e idrossido di calcio,acqua e acetaldeide
"La temperatura di una miscela costituita da 0,4 moli di H2, 0,6 moli di O2 e 0,8 moli di Ar viene portata a 273,15 K. A quale pressione il volume occupato da tale miscela risulta pari a 40,32 litri?","1,0 atm","0,5 atm",I dati forniti sono insufficienti per rispondere al quesito,"1,5 atm","1,3 atm"
Quale tra i seguenti composti è aromatico?,Acido benzoico,Formaldeide,Acido formico,Acido acetico,Acido butandioico
"Il postulato ""Volumi uguali di gas differenti, nelle stesse condizioni di temperatura e pressione, contengono lo stesso numero di molecole"" costituisce la legge di:",Avogadro,Charles,Gay-Lussac,Boyle e Mariotte,nessuna delle altre risposte è corretta
"Completare in modo corretto: “Gli atomi di uno stesso elemento ..."".","hanno lo stesso numero di protoni, ma non hanno la stessa massa atomica",hanno lo stesso numero di neutroni,possono avere un diverso numero di protoni,hanno lo stesso numero di elettroni e neutroni,sono tutti eguali
L'orbitale atomico è definito come:,lo spazio nel quale esiste la probabilità di trovare l'elettrone,la localizzazione precisa del punto occupato dall'elettrone,l'orbita descritta dall'elettrone in movimento intorno al nucleo,la regione dello spazio in cui l'elettrone descrive orbite perfettamente circolari,nessuna delle altre alternative è corretta
Un litro di soluzione acquosa contiene 360 g di HCl (MM = 36.0 g/mol) e 360 g di NaOH (MM= 40.0 g/mol). Quale dei seguenti valori di pH avrà la soluzione?,pH inferiore a 7.0,pH neutro,pH superiore a 7.0,pH molto maggiore di 8,pH uguale a 10
Si considerino due enantiomeri. Uno rispetto all’altro sono:,immagini speculari,isomeri conformazionali,perfettamente sovrapponibili,diastereoisomeri,isomeri strutturali o costituzionali
"Un non metallo, reagendo con l’ossigeno, dà:",un'anidride,un acido,un idrossido,l'acqua,nessuna delle altre alternative è corretta
In quale dei seguenti composti l'azoto ha il numero di ossidazione minore?,NH3,NO,HN3,NH2OH,N2O5
"Se in una reazione chimica un elemento subisce una riduzione, significa che il suo numero di ossidazione è diventato:",più negativo o meno positivo,uguale a zero,il doppio di come era prima,più positivo o meno negativo,nessuna delle altre alternative è corretta
Un atomo che ha perso un elettrone è definito:,catione,anione,anfoione,nuclide radioattivo,neutrone
"Dato che un catione bivalente di magnesio ha 10 elettroni, quale delle seguenti affermazioni è corretta?",Il magnesio ha Z = 12,Il magnesio ha Z = 8,L'isotopo più comune del magnesio ha A = 10,"La massa atomica di un atomo di magnesio è pari a 14,0 u",Il magnesio appartiene al gruppo 13
Il pH di una soluzione acquosa di una sostanza salina:,dipende dalla natura degli ioni della sostanza,è sempre uguale a 7,"è sempre basico, perché non esistono acidi salini","è sempre neutro, perché tutti gli ioni in acqua sono neutri","è sempre basico, perché gli ioni a carattere basico prevalgono sempre"
Che cos'è la cellulosa?,Un polisaccaride,Una proteina,Un acido,Un monosaccaride,Nessuna delle altre alternative è corretta
Individuare tra i seguenti composti l'alcol secondario.,"3,3 - dimetil - 2 - butanolo","3,3,4 - trimetil - 1 - pentanolo",2 - metil - 2 - esanolo,2 - metil - 1 - pentanolo,3 - metil - 3 - eptanolo
Una soluzione neutra è caratterizzata:,da una concentrazione dello ione idrogeno uguale a quella dello ione ossidrile,da una concentrazione dello ione idrogeno uguale a quella dello ione ossigeno,da una concentrazione dell'idrogeno uguale a quella dell'ossigeno,nessuna delle altre alternative è corretta,da una pressione osmotica uguale a quella atmosferica
Il legame a idrogeno è:,debole,forte,ionico,covalente,molto forte
In quale delle seguenti molecole sono presenti uno o più legami covalenti doppi?,CO2,NH3,CH4,H2O,C2H6
"Che volume di una soluzione 2,5 mol/l di NaOH è necessario per neutralizzare 2,0 l di una soluzione 0,50 mol/l di HCl?","0,40 l","2,5 l","2,0 l","1,2 l","1,0 l"
"Il peso molecolare di H2CrO4 è pari a 118 uma. Qual è la massa del cromo
presente in 9,03 x 1023 molecole di tale composto?",78 g,52 uma,177 g,104 g,81 g
"Negli alcheni, gli atomi di carbonio coinvolti in un doppio legame presentano un'ibridazione di tipo:",sp2,sp3,sp4,sp,p
Il carbonio è contenuto nel gruppo:,14,2,15,1,nessuna delle altre alternative è corretta
"La quantità chimica teorica di AlCl3 che si può ottenere da una quantità di Al pari a 0,6 mol è:","0,6 mol","1,8 mol","0,2 mol",3 mol,4 mol
"In una soluzione acquosa diluita di glucosio a 20 °C e 1 atm, l’acqua è:",il solvente,il soluto,l’agente emulsionante,il colloide,la fase dispersa
Il fosforo può essere:,"nero, rosso o bianco a seconda di come viene prodotto","rosso, se viene conservato in ultraaltovuoto","rosso, se viene prodotto in ultraaltovuoto",solamente bianco,bianco solamente quando viene conservato in ultraaltovuoto
Il nome corretto di KCl è:,cloruro di potassio,clorato di potassio,cloruro di rame,potassio-clorito,clorito di potassio
Quale dei seguenti composti appartiene al gruppo dei composti aromatici?,Benzene,Cicloesene,Cicloesano,Acetaldeide,Nessuna delle altre alternative è corretta
Quale dei seguenti composti NON è un idrocarburo?,Pentanolo,2-metilpentano,Ciclopentano,Pentano,Pentene
I metalli reagiscono con l'ossigeno per dare:,ossidi basici,idruri,sali,anidridi,ossiacidi
La reazione di un cloruro di un acido carbossilico con un'ammina secondaria dà luogo a:,un'ammide,un estere,un'ammina terziaria,un'idrazide,un cloruro amminico
Un'ammide si idrolizza in:,acido carbossilico e ammina,ammina,nitrile,chetone e ammina,alcol e ammina
Una reazione che avviene tra una soluzione acida e una soluzione basica in quantità stechiometricamente equivalenti si chiama:,neutralizzazione,normalizzazione,idrolisi,tamponazione,molalizzazione
La formula del cloruro di sodio è:,NaCl,SCl2,Na2Cl,NaCl2,Na2Cl2
Versando una base in una soluzione acida:,il pH aumenta,il pH diminuisce,il pH non cambia,non si può prevedere l’effetto,si ottiene sempre un precipitato
Il numero quantico principale (n) può assumere tutti i valori:,interi positivi da 1 a infinito,interi o frazionari da 1 fino a infinito,frazionari da 0 a infinito,interi negativi da 1 a infinito,interi o frazionari da 1 fino a 10
